ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,METEOR,QA_EM,QA_F1,LLM_answerability_mean,LLM_reasonableness_mean,LLM_clarity_mean,LLM_difficulty_mean,LLM_overall_quality_mean,LLM_answerability_std,LLM_reasonableness_std,LLM_clarity_std,LLM_difficulty_std,LLM_overall_quality_std,Num_Questions,Mode
0.1603,0.0396,0.142,0.8786,0.1896,0.1,0.1607,4.0,4.5,4.0,3.1,,1.183,0.806,1.183,0.3,,10,zero_shot
0.2257,0.0762,0.1947,0.8914,0.2768,0.1,0.175,4.1,4.7,4.5,3.2,,1.375,0.64,0.806,0.4,,10,hybrid_salient
0.1741,0.0242,0.149,0.8826,0.2015,0.0,0.0667,4.15,4.7,4.2,2.9,,1.097,0.64,0.98,0.7,,10,llm_salient
