ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,METEOR,QA_EM,QA_F1,LLM_answerability_mean,LLM_reasonableness_mean,LLM_clarity_mean,LLM_difficulty_mean,LLM_overall_quality_mean,LLM_answerability_std,LLM_reasonableness_std,LLM_clarity_std,LLM_difficulty_std,LLM_overall_quality_std,Num_Questions,Mode
0.1089,0.0,0.0984,0.8753,0.1308,0.1667,0.2719,4.667,4.667,4.5,3.167,,0.745,0.745,1.118,0.373,,6,zero_shot
0.2081,0.0185,0.1759,0.8827,0.2024,0.1667,0.1905,4.667,5.0,4.667,3.167,,0.745,0.0,0.745,0.373,,6,hybrid_salient
0.2166,0.0352,0.1764,0.8784,0.2331,0.0,0.0,4.667,5.0,4.833,3.167,,0.745,0.0,0.373,0.373,,6,llm_salient
