ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,METEOR,QA_EM,QA_F1,LLM_answerability_mean,LLM_reasonableness_mean,LLM_clarity_mean,LLM_difficulty_mean,LLM_overall_quality_mean,LLM_answerability_std,LLM_reasonableness_std,LLM_clarity_std,LLM_difficulty_std,LLM_overall_quality_std,Num_Questions,Mode
0.1738,0.0,0.1338,0.8812,0.1628,0.25,0.2204,4.75,5.0,4.75,3.5,,0.433,0.0,0.433,0.5,,4,zero_shot
0.1442,0.0179,0.1276,0.8847,0.2486,0.0,0.0575,4.5,5.0,4.25,3.25,,0.866,0.0,1.299,0.433,,4,hybrid_salient
0.2184,0.0429,0.2017,0.8895,0.3077,0.0,0.05,4.5,5.0,4.5,3.5,,0.866,0.0,0.866,0.5,,4,llm_salient
